S.No.,Item,2011-12,2012-13,2013-14,2014-15
1,"Agriculture, forestry and fishing",1162626,1313711,1497802,1514981
1.1,Crops,673402,814909,938019,853758
1.2,Livestock,115315,109697,108442,110304
1.3,Forestry and logging,368735,383150,443092,540950
1.4,Fishing and aquaculture,5175,5956,8249,9968
2,Mining and quarrying,28640,30544,28476,33385
Total,Primary,1191266,1344255,1526277,1548366
3,Manufacturing,1799826,2063113,2355433,2543637
4,"Electricity, gas, water supply & other utility services",602408,619270,713480,767268
5,Construction,638216,711075,775084,808256
Total,Secondary,3040450,3393457,3843997,4119162
6,"Trade, repair, hotels and restaurants",456829,513988,583016,615496
6.1,Trade & repair services,357260,407784,473098,494162
6.2,Hotels & restaurants,99569,106203,109918,121333
7,"Transport, storage, communication & services related to broadcasting",300837,351968,445448,552234
7.1,Railways,1720,1919,2309,2528
7.2,Road transport,169771,212617,273314,349608
7.3,Water transport,0,0,0,0
7.4,Air transport,898,1670,1452,3979
7.5,Services incidental to transport,814,1024,1334,1724
7.6,Storage,163,181,120,129
7.7,Communication & services related to broadcasting,127471,134557,166919,194266
8,Financial services,287346,318473,332560,362521
9,"Real estate, ownership of dwelling & professional services",674894,816170,967576,1125937
10,Public administration,375875,437936,468316,553974
11,Other services,612783,714593,768581,923164
Total,Tertiary,2708563,3153127,3565497,4133326
12,TOTAL GSVA at basic prices,6940278,7890839,8935771,9800853
13,Taxes on Products,551418,637988,759234,895317
14,Subsidies on products,219713,246849,218589,259291
15,Gross State Domestic Product,7271983,8281978,9476416,10436879
16,Population ('00),69010,69620,70230,70840
17,Per Capita GSDP (Rs.),105376,118960,134934,147330
